Location/Plus Code,Latitude,Longitude,Timestamp,PICS
"Px4j+prr, Salahuddin Road, Jahangirabad, Sheikhupura, Punjab",31.706697,73.982225,19/12/2025 11:24 AM,WhatsApp Image 2026-01-06 at 12.52.14 PM.jpeg
"Pxdj+prr, Salahuddin Road, Jahangirabad, Sheikhupura, Punjab",31.707002,73.982308,19/12/2025 11:23 AM,WhatsApp Image 2026-01-06 at 12.52.15 PM (1).jpeg
"Px9x+82g, Gujranwala Rd, Sheikhupura, Punjab , hs",31.718282,73.997394,19/12/2025 11:34 AM,WhatsApp Image 2026-01-06 at 12.52.15 PM.jpeg
"Px9x+82g, Gujranwala Rd, Sheikhupura, Punjab , ST 30h Pakistan 30 Se Br dnl Lat 31",31.718395,73.997589,19/12/2025 11:34 AM,WhatsApp Image 2026-01-06 at 12.52.16 PM.jpeg
Not found,31.719849,74.000369,19/12/2025 02:32 PM,WhatsApp Image 2026-01-06 at 12.52.26 PM.jpeg
Not found,31.719938,74.000377,19/12/2025 02:32 PM,WhatsApp Image 2026-01-06 at 12.52.28 PM.jpeg
Not found,31.720018,74.000399,19/12/2025 02:32 PM,WhatsApp Image 2026-01-06 at 12.52.29 PM (1).jpeg
Not found,31.720215,74.000313,19/12/2025 02:31 PM,WhatsApp Image 2026-01-06 at 12.52.29 PM.jpeg
"PX28+9W9, Sheikhupura, Pakistan bl 31",31.700895,73.9676044,11:58 AM 19/12/2025,WhatsApp Image 2026-01-06 at 12.52.35 PM (1).jpeg
"Px28+9W9, Sheikhupura, Pakistan",31.700895,73.9676044,11:57 AM 19/12/2025,WhatsApp Image 2026-01-06 at 12.52.35 PM.jpeg
Not found,31.719758,74.000016,19/12/2025 02:24 PM,WhatsApp Image 2026-01-06 at 12.52.36 PM (1).jpeg
Not found,31.719976,74.00004,19/12/2025 02:24 PM,WhatsApp Image 2026-01-06 at 12.52.36 PM (2).jpeg
Not found,31.719889,74.000024,19/12/2025 02:24 PM,WhatsApp Image 2026-01-06 at 12.52.36 PM.jpeg
"Pxcx+4q5, Gujranwala Link Rd, Sheikhupura, Punjab , RP",31.720047,73.999635,19/12/2025 02:23 PM,WhatsApp Image 2026-01-06 at 12.52.37 PM (1).jpeg
"P282+gwgq, Sheikhupura, Punjab , Pakistan",31.716455,74.00221,19/12/2025 10:04 AM,WhatsApp Image 2026-01-06 at 12.52.37 PM (2).jpeg
Not found,31.720062,74.000097,19/12/2025 02:23 PM,WhatsApp Image 2026-01-06 at 12.52.37 PM.jpeg
"P282+gwq, Sheikhupura, Punjab, Pakistan FHL",31.716537,74.002239,19/12/2025 10:04 AM,WhatsApp Image 2026-01-06 at 12.52.38 PM (1).jpeg
"P282+gwq, Sheikhupura, Punjab , Pakistan S20",31.716055,74.002153,19/12/2025 10:03 AM,WhatsApp Image 2026-01-06 at 12.52.38 PM (2).jpeg
"P282+gwq, Sheikhupura, Punjab , Pakistan SLES EC Th Lat 31716384",31.716384,74.002185,19/12/2025 10:04 AM,WhatsApp Image 2026-01-06 at 12.52.38 PM.jpeg
"P282+gwq, Sheikhupura, Punjab , Pakistan",31.715807,74.002112,19/12/2025 10:01 AM,WhatsApp Image 2026-01-06 at 12.52.39 PM (1).jpeg
"P282+gwq, Sheikhupura, Punjab , Pakistan al pr",31.715937,74.002126,19/12/2025 10:03 AM,WhatsApp Image 2026-01-06 at 12.52.39 PM.jpeg
"P283+f5j, Sheikhupura, Punjab , Pakistan lL",31.715663,74.002812,19/12/2025 09:54 AM,WhatsApp Image 2026-01-06 at 12.52.40 PM (1).jpeg
"P283+f5j, Sheikhupura, Punjab , Pakistan Swag TTD Lat 31",31.715792,74.00283,19/12/2025 09:54 AM,WhatsApp Image 2026-01-06 at 12.52.40 PM (2).jpeg
Not found,31.715353,74.000465,19/12/2025 09:53 AM,WhatsApp Image 2026-01-06 at 12.52.40 PM.jpeg
"P283+f7m, Sheikhupura, Punjab , Pakistan SF",31.71557,74.002762,19/12/2025 09:54 AM,WhatsApp Image 2026-01-06 at 12.52.41 PM (1).jpeg
"P283+f5j, Sheikhupura, Punjab , Pakistan Sw TE Lat 31716057",31.716057,74.00289,19/12/2025 09:55 AM,WhatsApp Image 2026-01-06 at 12.52.41 PM (2).jpeg
"P283+f5j, Sheikhupura, Punjab , Pakistan , BY tr",31.715928,74.002865,19/12/2025 09:54 AM,WhatsApp Image 2026-01-06 at 12.52.41 PM.jpeg
"Px3j+pxw, Khokhar Mohallah Rd, Jahangirabad, Sheikhupura",31.70405,73.982628,19/12/2025 11:40 AM,WhatsApp Image 2026-01-06 at 12.52.42 PM (1).jpeg
Not found,31.703883,73.982632,Not found,WhatsApp Image 2026-01-06 at 12.52.42 PM.jpeg
"Px3j+pxw, Khokhar Mohallah Rd, Jahangirabad, Sheikhupura, By",31.704385,73.982758,19/12/2025 11:41 AM,WhatsApp Image 2026-01-06 at 12.52.43 PM (1).jpeg
"Px3j+pxw, Khokhar Mohallah Rd, Jahangirabad, Sheikhupura",31.70415,73.982697,19/12/2025 11:41 AM,WhatsApp Image 2026-01-06 at 12.52.43 PM (2).jpeg
"Px3j+pxw, Khokhar Mohallah Rd, Jahangirabad, Sheikhupura, EAT",31.704447,73.982713,19/12/2025 11:41 AM,WhatsApp Image 2026-01-06 at 12.52.43 PM.jpeg
"Mxw9+552, Road, Near Mad",31.695303,73.968018,19/12/2025 03:36 PM,WhatsApp Image 2026-01-06 at 12.52.44 PM (1).jpeg
"Mxw9+37g, Sheikhupura, Punjab , Pakistan",31.695165,73.968025,19/12/2025 03:37 PM,WhatsApp Image 2026-01-06 at 12.52.44 PM (2).jpeg
