# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Location/Plus Code,Latitude,Longitude,Timestamp,PICS
"P243+g5x, Sultanpura, Sheikhupura, Punjab, SLL mgs Pakistan Ls WEEE Lat 31707373",31.707373,74.003046,26/12/2025 10:52 AM,WhatsApp Image 2025-12-28 at 5.58.52 PM.jpeg
"P243+q6r, Sultanpura, Sheikhupura, Punjab , Pakistan CFG Lat 31",31.706906,74.002994,26/12/2025 10:50 AM,WhatsApp Image 2025-12-28 at 5.58.53 PM (1).jpeg
"P243+q6r, Sultanpura, Sheikhupura, Punjab , Pakistan",31.70686,74.003006,26/12/2025 10:50 AM,WhatsApp Image 2025-12-28 at 5.58.53 PM (2).jpeg
"P243+qg5x, Sultanpura, Sheikhupura, Punjab",31.707228,74.003099,26/12/2025 10:51 AM,WhatsApp Image 2025-12-28 at 5.58.53 PM.jpeg
"P243+q6r, Sultanpura, Sheikhupura, Punjab , Pakistan Tal BL",31.706763,74.003656,26/12/2025 10:49 AM,WhatsApp Image 2025-12-28 at 5.58.54 PM (1).jpeg
"P243+rmx, 395",31.706753,74.003823,26/12/2025 10:49 AM,WhatsApp Image 2025-12-28 at 5.58.54 PM (2).jpeg
"P243+q6r, Sultanpura, Sheikhupura, Punjab , Pakistan SLE CHEE Lat 31706782",31.706782,74.003476,26/12/2025 10:50 AM,WhatsApp Image 2025-12-28 at 5.58.54 PM.jpeg
"P253+69c, Sultanpura, Sheikhupura, Punjab, lag 10",31.707105,74.003436,26/12/2025 10:44 AM,WhatsApp Image 2025-12-28 at 5.58.55 PM (1).jpeg
"P2434+rmx, 395 biel 39",31.707032,74.003793,26/12/2025 10:45 AM,WhatsApp Image 2025-12-28 at 5.58.55 PM (2).jpeg
"P253+6gc, Sultanpura, Sheikhupura, Punjab , SEARS pakistan Cah eS Lat 31",31.707101,74.00351,26/12/2025 10:44 AM,WhatsApp Image 2025-12-28 at 5.58.55 PM.jpeg
"P243+rmx, 395 plac",31.70707,74.003868,26/12/2025 10:43 AM,WhatsApp Image 2025-12-28 at 5.58.56 PM (1).jpeg
"P242+r4x, Sultanpura, Sheikhupura, Punjab , Pakistan TEA",31.707119,73.99984,26/12/2025 10:42 AM,WhatsApp Image 2025-12-28 at 5.58.56 PM (2).jpeg
"P243+rmx, 3s5 phic",31.707093,74.003805,26/12/2025 10:44 AM,WhatsApp Image 2025-12-28 at 5.58.56 PM.jpeg
"P242+r4x, Sultanpura, Sheikhupura, Punjab , Pakistan E05 DURE Lat 31707119",31.707119,73.99984,26/12/2025 10:42 AM,WhatsApp Image 2025-12-28 at 5.58.57 PM (1).jpeg
"P242+r4x, Sultanpura, Sheikhupura, Punjab , Pakistan SU DUNT Lat 31707119",31.707119,73.99984,26/12/2025 10:41 AM,WhatsApp Image 2025-12-28 at 5.58.57 PM.jpeg
"P243+q6r, Sultanpura, Sheikhupura, Punjab , Pakistan COs Ue Lat 31",31.706843,74.003168,26/12/2025 10:50 AM,WhatsApp Image 2025-12-28 at 5.58.59 PM (1).jpeg
"P243+q6r, Sultanpura, Sheikhupura, Punjab , Pakistan",31.706808,74.003328,26/12/2025 10:50 AM,WhatsApp Image 2025-12-28 at 5.58.59 PM (2).jpeg
"P243+q6r, Sultanpura, Sheikhupura, Punjab , Pakistan SE SEE Lat 31",31.70711,74.00301,26/12/2025 10:51 AM,WhatsApp Image 2025-12-28 at 5.58.59 PM.jpeg
"P243+rmx, 395 ple",31.706906,74.003818,26/12/2025 10:45 AM,WhatsApp Image 2025-12-28 at 5.59.00 PM (1).jpeg
"p253+6gc, Sultanpura, Sheikhupura, Punjab",31.707089,74.003757,26/12/2025 10:44 AM,WhatsApp Image 2025-12-28 at 5.59.00 PM (2).jpeg
"P253+6gc, Sultanpura, Sheikhupura, Punjab",31.707105,74.003436,26/12/2025 10:44 AM,WhatsApp Image 2025-12-28 at 5.59.00 PM.jpeg
"P243+rmx, 3g",31.707047,74.003883,26/12/2025 10:42 AM,WhatsApp Image 2025-12-28 at 5.59.01 PM (1).jpeg
"P242+r4x, Sultanpura, Sheikhupura, Punjab , Pakistan LH BARC",31.707119,73.99984,26/12/2025 10:41 AM,WhatsApp Image 2025-12-28 at 5.59.01 PM (2).jpeg
"P243+rmx, 3a",31.707128,74.003834,26/12/2025 10:43 AM,WhatsApp Image 2025-12-28 at 5.59.01 PM.jpeg
"Mxxm+675, Arariya Walasheikhupura, Sheikhupura, Punjab , eae ma Pakistan Hg Li",31.697718,73.983047,27/12/2025 11:41 AM,WhatsApp Image 2025-12-29 at 3.11.52 PM (1).jpeg
"Mxxm+675, Arariya Walasheikhupura, Sheikhupura, Punjab, rhe",31.697908,73.983122,27/12/2025 11:41 AM,WhatsApp Image 2025-12-29 at 3.11.52 PM.jpeg
"Mxxm+3cc, Behind Justice Mazhar Sandhu House, Khokhar Town, Ce wa JS br Sheikhupura, Punjab , Pakistan FTA od",31.697152,73.982913,27/12/2025 11:40 AM,WhatsApp Image 2025-12-29 at 3.11.53 PM (1).jpeg
"Mxxm+675, Arariya Walasheikhupura, Sheikhupura, Punjab",31.69754,73.98288,27/12/2025 11:40 AM,WhatsApp Image 2025-12-29 at 3.11.53 PM (2).jpeg
"Mxwm+f5x, Khokhar Mohallah Rd, Sheikhupura, Punjab , Pakistan",31.696772,73.98289,27/12/2025 11:39 AM,WhatsApp Image 2025-12-29 at 3.11.53 PM.jpeg
"Mxxm+3cc, Behind Justice Mazhar Sandhu House, Khokhar Town",31.69734,73.982993,27/12/2025 11:40 AM,WhatsApp Image 2025-12-29 at 3.11.54 PM (1).jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan",31.697665,73.982082,27/12/2025 11:48 AM,WhatsApp Image 2025-12-29 at 3.11.54 PM (2).jpeg
"Mxwm+f5x, Khokhar Mohallah Rd, Sheikhupura, Punjab , Pakistan Bah",31.696702,73.982888,27/12/2025 11:39 AM,WhatsApp Image 2025-12-29 at 3.11.54 PM.jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan ie",31.69769,73.982298,27/12/2025 11:50 AM,WhatsApp Image 2025-12-29 at 3.11.55 PM (1).jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan Ny pha CY Lat 31",31.697793,73.982333,27/12/2025 11:51 AM,WhatsApp Image 2025-12-29 at 3.11.55 PM (2).jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan EL",31.697627,73.982267,27/12/2025 11:48 AM,WhatsApp Image 2025-12-29 at 3.11.55 PM.jpeg
Not found,31.698227,73.982433,27/12/2025 11:52 AM,WhatsApp Image 2025-12-29 at 3.11.56 PM (1).jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan BL",31.69805,73.982345,27/12/2025 11:52 AM,WhatsApp Image 2025-12-29 at 3.11.56 PM (2).jpeg
Not found,31.698182,73.982407,27/12/2025 11:52 AM,WhatsApp Image 2025-12-29 at 3.11.56 PM.jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan",31.667942,73.982358,27/12/2025 11:51 AM,WhatsApp Image 2025-12-29 at 3.11.57 PM (1).jpeg
"Mxxm+675, Arariya Walasheikhupura, Sheikhupura, Punjab , IZ SATEEN HEL Pakistan ns AB ri Lat 31",31.697673,73.982408,27/12/2025 11:51 AM,WhatsApp Image 2025-12-29 at 3.11.57 PM (2).jpeg
Not found,31.698347,73.982433,27/12/2025 11:53 AM,WhatsApp Image 2025-12-29 at 3.11.57 PM.jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan iE",31.698135,73.981317,27/12/2025 11:58 AM,WhatsApp Image 2025-12-29 at 3.11.58 PM (1).jpeg
Not found,31.698387,73.98137,27/12/2025 11:58 AM,WhatsApp Image 2025-12-29 at 3.11.58 PM (2).jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan wf eB Lat 31",31.697998,73.981378,27/12/2025 11:59 AM,WhatsApp Image 2025-12-29 at 3.11.58 PM.jpeg
Not found,31.69769,73.981272,27/12/2025 11:59 AM,WhatsApp Image 2025-12-29 at 3.11.59 PM (1).jpeg
Not found,31.697585,73.98125,27/12/2025 12:00 PM,WhatsApp Image 2025-12-29 at 3.11.59 PM (2).jpeg
"Mxxj+6m3, Sheikhupura, Punjab, Pakistan biG gi",31.69793,73.981357,27/12/2025 11:59 AM,WhatsApp Image 2025-12-29 at 3.11.59 PM.jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan Phair hd Lat 31",31.69809,73.981342,27/12/2025 12:01 PM,WhatsApp Image 2025-12-29 at 3.12.00 PM (1).jpeg
Not found,31.697408,73.981227,27/12/2025 12:00 PM,WhatsApp Image 2025-12-29 at 3.12.00 PM.jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan",31.698053,73.98141,27/12/2025 12:01 PM,WhatsApp Image 2025-12-29 at 3.12.01 PM (1).jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan",31.698078,73.981668,27/12/2025 12:02 PM,WhatsApp Image 2025-12-29 at 3.12.01 PM (2).jpeg
"Mxxj+6m3, Sheikhupura, Punjab , Pakistan",31.698035,73.981557,27/12/2025 12:02 PM,WhatsApp Image 2025-12-29 at 3.12.01 PM.jpeg
"Mxxj+x5h, Bhikhi Rd, Nai Abadi Arayanwala Sheikhupura, 39350, RE hi Rp Pakistan, Sheikhupura, Punjab 39350, Pakistan",31.699983,73.981008,27/12/2025 12:28 PM,WhatsApp Image 2025-12-29 at 3.12.02 PM (1).jpeg
"Mxxj+x5h, Bhikhi Rd, Nai Abadi Arayanwala Sheikh",31.699995,73.981217,27/12/2025 12:27 PM,WhatsApp Image 2025-12-29 at 3.12.02 PM (2).jpeg
"Px2j+559, Bhikhi Rd, Sheikhupura, Punjab 39350, Pakistan fl Lat 31",31.700128,73.98056,27/12/2025 12:30 PM,WhatsApp Image 2025-12-29 at 3.12.02 PM.jpeg
Not found,31.699935,73.981328,27/12/2025 12:27 PM,WhatsApp Image 2025-12-29 at 3.12.03 PM (1).jpeg
Not found,31.699908,73.981673,27/12/2025 12:26 PM,WhatsApp Image 2025-12-29 at 3.12.03 PM (2).jpeg
Not found,31.699925,73.98159,27/12/2025 12:27 PM,WhatsApp Image 2025-12-29 at 3.12.03 PM.jpeg
Not found,31.699835,73.98195,27/12/2025 12:26 PM,WhatsApp Image 2025-12-29 at 3.12.04 PM (1).jpeg
Not found,31.6999,73.98186,27/12/2025 12:26 PM,WhatsApp Image 2025-12-29 at 3.12.04 PM.jpeg
"Mxxj+vxd4, Sheikhupura, Punjab , Pakistan nS Lat 31",31.699862,73.982487,27/12/2025 12:25 PM,WhatsApp Image 2025-12-29 at 3.12.05 PM (1).jpeg
"Mxxj+x5h, Bhikhi Rd, Nai Abadi Arayanwala Sheikhupura, 39350, gh Ths go",31.700033,73.980788,27/12/2025 12:29 PM,WhatsApp Image 2025-12-29 at 3.12.05 PM (2).jpeg
