Row Number,Reason,Location/Plus Code,Latitude,Longitude,Timestamp,PICS
30,Invalid Longitude,"PX28+9W9, Sheikh pura, Pakistan 31",31.700895,Not found,10/12/2025 14:01,WhatsApp Image 2025-12-24 at 3.19.55 PM.jpeg
38,Invalid Longitude,"PX28+9W9, Sheikhupura, Paki AARC 31",31.700895,Not found,Not found,WhatsApp Image 2025-12-24 at 3.20.02 PM (1).jpeg
435,Invalid Longitude,"Px28+9W9, Sheikhiipura, Pakistan MB 31",31.700895,Not found,Not found,WhatsApp Image 2025-12-24 at 3.25.35 PM.jpeg
436,Invalid Longitude,Not found,31.70089,Not found,Not found,WhatsApp Image 2025-12-24 at 3.25.36 PM.jpeg
545,Invalid Longitude,"PX28+9WO, ura, Pakistan",31.700895,Not found,10/12/2028 12:45,WhatsApp Image 2025-12-24 at 3.27.23 PM.jpeg
551,Invalid Longitude,"PX28+9W9, Sheikhupura, Pakistan",31.700895,Not found,10/12/2025 12:17,WhatsApp Image 2025-12-24 at 3.27.26 PM.jpeg
1378,Invalid Longitude,"PX28+9W9, Sheikhupura, Pakistan",31.700895,Not found,11/12/2025 12:04,WhatsApp Image 2025-12-15 at 8.01.03 PM.jpeg
1379,Invalid Longitude,"PX28+9W9, Sheikhupu",31.700895,Not found,Not found,WhatsApp Image 2025-12-15 at 8.01.05 PM.jpeg
1395,Invalid Longitude,"PX28+9W9, Sheikhupura, Pakistan",31.700895,Not found,11/12/2025 12:04,WhatsApp Image 2025-12-16 at 5.31.09 AM.jpeg
1462,Invalid Longitude,"Px69+384, Sarwar Sl",31.71,Not found,11/12/2025 1:34,WhatsApp Image 2025-12-16 at 5.34.26 AM.jpeg
1496,Invalid Longitude,"Px25+9wo, Sheikhupura, Vv",31.700895,Not found,Not found,WhatsApp Image 2025-12-16 at 5.36.05 AM (1).jpeg
1610,Invalid Longitude,Not found,31.703092,Not found,Not found,WhatsApp Image 2025-12-16 at 5.40.36 AM.jpeg
1611,Invalid Longitude,Not found,31.703988,Not found,11/12/2025 14:45,WhatsApp Image 2025-12-16 at 5.40.37 AM (1).jpeg
1648,Invalid Longitude,Not found,31.70191,Not found,Not found,WhatsApp Image 2025-12-16 at 5.41.41 AM (2).jpeg
1837,Invalid Longitude,"Px39+wijp, Ghang, Punjab, Pakistan F155 fw",31.705003,Not found,11/12/2025 14:04,WhatsApp Image 2025-12-18 at 1.54.16 PM.jpeg
1839,Invalid Longitude,Not found,31.704893,Not found,11/12/2025 14:04,WhatsApp Image 2025-12-18 at 1.54.18 PM.jpeg
1844,Invalid Longitude,Not found,31.704275,Not found,11/12/2025 14:02,WhatsApp Image 2025-12-18 at 1.54.22 PM (2).jpeg
1940,Invalid Longitude,Not found,31.698825,Not found,13/12/2025 11:57 AM,WhatsApp Image 2025-12-19 at 12.09.22 PM (1).jpeg
2194,Invalid Latitude,"PX28+9W9, Sheikhupura, Pakistan 31700895",Not found,73.9676044,11:11 AM 15/12/2025,WhatsApp Image 2025-12-20 at 9.44.29 AM.jpeg
2199,Invalid Latitude,"PX28+9W9, Sheikhupura, Pakistan",Not found,73.9676044,11:15 AM 15/12/2025,WhatsApp Image 2025-12-20 at 9.45.16 AM.jpeg
2212,Invalid Latitude,Not found,Not found,73.9676044,Not found,WhatsApp Image 2025-12-20 at 9.45.55 AM.jpeg
2239,Invalid Latitude,"PX28+9W9, Sheikhupura, Pakistan",Not found,Not found,Not found,WhatsApp Image 2025-12-20 at 9.46.38 AM (2).jpeg
